No.,Tool Category,Tool Name,Link to Tool,Description,Area of Use,Abstract Name,Link to Abstract,Contributor,Experience
1,Citation Management,Zotero,https://www.zotero.org/,"a DH tool because it is a digital tool which can help researchers both in the humanities to organize resources (including digital sources), write notes, and create citations.",citation management,Building Better Digital Humanities Tools: Toward Broader Audiences and User-Centered Designs,https://dh-abstracts.library.virginia.edu/works/1066,Abigail Barrett,Yes
2,Event Mapping,Palladio,http://hdlab.stanford.edu/palladio/about/,Graph relationships and geography as well as perform statistical calculations about the relationships,network analysis,Mapping the Republic of Letters,http://republicofletters.stanford.edu/,Richard Schneider,None
3,Event Mapping,Story Map.JS,https://storymap.knightlab.com/,The purpose of StoryMap is to highlight the locations of a series of events through mapping and descriptions.,Producing a story through event mapping,Southern Literary Trail,https://www.georgiahumanities.org/southern-literary-trail-story-map/,Kfata,Yes
4,Network analysis &visualization,Gephi,https://gephi.org/,Understanding information comprehensively,"Considering texts and their editions' texts (fiction in prose, theatre, poetry, chronicles) for information mapping",Preliminaries: The Social Networks of Literary Production in the Spanish Empire During the Administration of the Duke of Lerma (1598-1618),https://dh-abstracts.library.virginia.edu/works/1762,Ruby Martinez,None
5,Repository system,Drupal,https://www.drupal.org/,"enable automated textual analysis, data extraction, cross-referencing, and visualizations of the relationships among texts",Data Collection and Analysis,"Bibliopedia, Linked Open Data, and the Web of Scholarly Citations",https://dh-abstracts.library.virginia.edu/works/1610,Isabelle Cheng,Yes
6,Scholarly publishing,Scalar,http://scalar.usc.edu/scalar,software for publishing and linking multimedia scholarship on digital platforms.,Linking information,Access to DH Pedagogy as the Norm: Introducing Students to DH Methods Across the Curriculum and at a Distance,https://dh-abstracts.library.virginia.edu/works/3879,Elizabeth Watkins,None
7,Script Generation,Python,https://www.python.org/,an interpreted and object-oriented computer programming language with dynamic semantics,"collecting, sorting, and analyzing data, building websites and software, and automating tasks",A code for Murakami’s Tokyo: spatial diversity analyzed by digital means,https://dh-abstracts.library.virginia.edu/works/11841,Inyoung Jang,Yes
8,Text analysis,Voyant,https://voyant-tools.org/,"Web-based tool to read and analyze digital texts using NSSI, a set of named entity recognition (NER) tools",named entity recognition,"Remapping Leigh Hunt's Circles"": Voyant Tools and Hunt's Dramatic Criticism",https://dh-abstracts.library.virginia.edu/works/2621,Yoonsuh Kim,None
9,Text analysis,Voyant,https://voyant-tools.org/,"Web-based tool to read and analyze digital texts using NSSI, a set of named entity recognition (NER) tools",named entity recognition,"Web Services for Voyant: LINCS, Voyant and NSSI: LINCS, Voyant and NSSI",https://dh-abstracts.library.virginia.edu/works/11736,Rebecca Thurber,None
10,Text Analysis and Access,Google Books,https://books.google.com/,"It makes searching books for specific lines of text easy. It can also be used for other academic purposes. The linked abstract discusses this further and explains how Google Books can be used to study ""the entropy of language and its complexity.""",reading and information access,Negentropic linguistic evolution: A comparison of seven languages,https://dh-abstracts.library.virginia.edu/works/6286,Amoura,Yes
11,Text Encoding,TEI,https://tei-c.org/,"TEI is a foundational tool in the digital humanities. It provides a standardized and structured approach to encoding textual data, enabling researchers to digitally work with, analyze, and preserve textual materials. This DH tool enhances the accessibility and analytical capabilities of humanities scholars, making it an essential tool in this field while facilitating collaboration among diverse institutions and researchers.",Conducting Digital exploration,Early Modern Songscapes,https://mith.umd.edu/research/early-modern-soundscapes/,Aali,None
12,Visualization,Scholarly 3D toolkit,https://digitalhumanities101.wordpress.com/2014/10/22/connecting-digital-humanities-data-with-the-scholarly-3d-toolkit/,This tool can help modulate details about events and monuments into 3D environments by adding metadata,"Virtual Reality, History and Timeline Creation","The Scholarly 3D Toolkit: Annotation, Publication, and Analysis of 3D Scenes alongside Imported Humanities Data",https://dh-abstracts.library.virginia.edu/works/2111,Sanchita Kamath,None
13,Web Content Management,WordPress,https://wordpress.com/home/tenweeks716798793.wordpress.com,"WordPress as a framework for other digital work such as web interaction, data extraction, and delivering structured data to a variety of data-analysis-based systems. This tells that while WordPress may not be doing the data processing, it can provide a workflow framework to organize and guide other digital tasks.","Website Creation, and Information Access","WordPress as a framework for automated data capture, filtering and structuring processes. The new order of the authors",https://dh-abstracts.library.virginia.edu/works/2822,Phil Torchia,None
14,Web Content Management,Srophé App,https://srophe.app/,an open-source database for digital humanities research in the history of culture and encoding cultural heritage,"encode and link historical data with texts, persons, geography, events, and material artifacts",Architectura Sinica and Collaborative Digital Database Development,https://dh-abstracts.library.virginia.edu/works/11970,Inyoung Jang,None
15,Web Content Retrieval,Twitter (X),https://twitter.com/?lang=en,"use its search function, sometimes tagged with a user's @, to search for opinions and discussions about authors, books, and other literary topics.",Information Retreival,"Project Twitter Literature: Scraping, Analyzing, and Archiving Twitter Data in Literary Research",https://dh-abstracts.library.virginia.edu/works/9425,A Pollock,Yes
